dev,alg,nt,reps,n,bs,nb,q,lr,GPU_BSIZE,CG_GROUP_SIZE,CG_MEM_ALIGNMENT,timestamp,scan_threshold,XXX_CG_SIZE_LOG,XXX_CG_AMOUNT_LOG,t,q/s,ns/q,construction,outbuffer,tempbuffer,freeGPUMemCorrect,freeGPUMem,checkResult
NVIDIA RTX A5000,[GPU] Interleaved in CUDA,1,3,16777216,1,0,16777216,-1,1024,0,0,2026-05-24T22:46:44Z,64,3,2,0.025954,1939240853.924524,0.515666,0.180880,2.164800,0.000000,1,23748.250000,-1
NVIDIA RTX A5000,[GPU] Interleaved in CUDA,1,3,16777216,1,0,16777216,-3,1024,0,0,2026-05-24T22:46:45Z,64,3,2,0.022052,2282456750.213491,0.438124,0.193460,2.164800,0.000000,1,23748.250000,-1
