v2_14	goal2626_standard	0	2026-06-20T14:01:23+00:00	2026-06-20T14:09:04+00:00
v2_14	goal2636_standard	0	2026-06-20T14:10:15+00:00	2026-06-20T14:11:30+00:00
v2_14	goal3828_full	1	2026-06-20T14:11:30+00:00	2026-06-20T14:12:00+00:00
current	goal2626_standard	0	2026-06-20T14:12:00+00:00	2026-06-20T14:19:43+00:00
current	goal2636_standard	0	2026-06-20T14:19:43+00:00	2026-06-20T14:21:00+00:00
current	goal3828_full	0	2026-06-20T14:21:00+00:00	2026-06-20T14:21:43+00:00
