START	blocked_cupy_16384	2026-06-22T15:43:47Z
END	blocked_cupy_16384	2026-06-22T15:43:51Z	0
START	blocked_cupy_65536	2026-06-22T15:43:51Z
END	blocked_cupy_65536	2026-06-22T15:43:57Z	0
START	unblocked_cupy_16384	2026-06-22T15:43:57Z
END	unblocked_cupy_16384	2026-06-22T15:44:01Z	0
START	blocked_numba_16384	2026-06-22T15:44:01Z
END	blocked_numba_16384	2026-06-22T15:44:03Z	1
