goal,status,structured_revision_count,goal_archive_count,report_count,ad_hoc_review_count,primary_structured_revision,primary_goal_archive,sample_report,sample_ad_hoc_review
360,no_direct_goal_id_artifact_found,0,0,0,0,,,,
361,no_direct_goal_id_artifact_found,0,0,0,0,,,,
362,no_direct_goal_id_artifact_found,0,0,0,0,,,,
363,no_direct_goal_id_artifact_found,0,0,0,0,,,,
364,no_direct_goal_id_artifact_found,0,0,0,0,,,,
365,no_direct_goal_id_artifact_found,0,0,0,0,,,,
366,no_direct_goal_id_artifact_found,0,0,0,0,,,,
367,no_direct_goal_id_artifact_found,0,0,0,0,,,,
368,no_direct_goal_id_artifact_found,0,0,0,0,,,,
369,no_direct_goal_id_artifact_found,0,0,0,0,,,,
370,no_direct_goal_id_artifact_found,0,0,0,0,,,,
371,no_direct_goal_id_artifact_found,0,0,0,0,,,,
372,no_direct_goal_id_artifact_found,0,0,0,0,,,,
373,no_direct_goal_id_artifact_found,0,0,0,0,,,,
374,no_direct_goal_id_artifact_found,0,0,0,0,,,,
375,no_direct_goal_id_artifact_found,0,0,0,0,,,,
376,no_direct_goal_id_artifact_found,0,0,0,0,,,,
377,no_direct_goal_id_artifact_found,0,0,0,0,,,,
378,no_direct_goal_id_artifact_found,0,0,0,0,,,,
379,no_direct_goal_id_artifact_found,0,0,0,0,,,,
380,no_direct_goal_id_artifact_found,0,0,0,0,,,,
381,no_direct_goal_id_artifact_found,0,0,0,0,,,,
382,no_direct_goal_id_artifact_found,0,0,0,0,,,,
383,no_direct_goal_id_artifact_found,0,0,0,0,,,,
384,no_direct_goal_id_artifact_found,0,0,0,0,,,,
385,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_385_v0_6_rt_graph_version_plan.md,docs/reports/gemini_goal385_v0_6_rt_graph_version_plan_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal385-v0_6-rt-graph-version-plan.md
386,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_386_v0_6_rt_graph_kernel_surface_design.md,docs/reports/claude_goal386_v0_6_rt_graph_kernel_surface_design_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal386-v0_6-rt-graph-kernel-surface-design.md
387,goal_doc_archive_only,0,1,5,1,,docs/history/goals/archive/goal_387_v0_6_rt_graph_execution_interpretation.md,docs/reports/claude_goal387_v0_6_rt_graph_execution_interpretation_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal387-v0_6-rt-graph-execution-interpretation.md
388,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_388_v0_6_rt_graph_lowering_runtime_contract.md,docs/reports/claude_goal388_v0_6_rt_graph_lowering_runtime_contract_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal388-v0_6-rt-graph-lowering-runtime-contract.md
389,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_389_v0_6_rt_kernel_bfs_python_truth_path.md,docs/reports/claude_goal389_v0_6_rt_kernel_bfs_python_truth_path_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal389-v0_6-rt-kernel-bfs-python-truth-path.md
390,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_390_v0_6_rt_kernel_triangle_python_truth_path.md,docs/reports/claude_goal390_v0_6_rt_kernel_triangle_python_truth_path_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal390-v0_6-rt-kernel-triangle-python-truth-path.md
391,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_391_v0_6_rt_kernel_bfs_oracle_truth_path.md,docs/reports/gemini_goal391_v0_6_rt_kernel_bfs_oracle_truth_path_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal391-v0_6-rt-kernel-bfs-oracle-truth-path.md
392,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_392_v0_6_rt_kernel_triangle_oracle_truth_path.md,docs/reports/gemini_goal392_v0_6_rt_kernel_triangle_oracle_truth_path_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal392-v0_6-rt-kernel-triangle-oracle-truth-path.md
