         12410 function calls (12282 primitive calls) in 0.158 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 <frozen posixpath>:416(abspath)
      528    0.000    0.000    0.000    0.000 physical_execution_provenance.py:350(<genexpr>)
     2080    0.000    0.000    0.000    0.000 physical_execution_provenance.py:1049(<genexpr>)
       96    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
       16    0.000    0.000    0.000    0.000 v4_paper_apps_pyoptix_worker.py:39(_digest)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:356(_captured_snapshot_dict)
      288    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       96    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
       48    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
      384    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       96    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
       64    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       32    0.000    0.000    0.000    0.000 random.py:889(getrandbits)
      288    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       48    0.000    0.000    0.000    0.000 <frozen posixpath>:408(normpath)
       96    0.000    0.000    0.000    0.000 pathlib.py:1166(__new__)
      432    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      464    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      320    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       16    0.000    0.000    0.000    0.000 v4_paper_apps_pyoptix_worker.py:50(_traversal_projection)
       16    0.000    0.000    0.000    0.000 pathlib.py:519(__eq__)
      384    0.000    0.000    0.000    0.000 {built-in method time.perf_counter_ns}
       64    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
      192    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      160    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       32    0.000    0.000    0.000    0.000 pathlib.py:484(_str_normcase)
       96    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      192    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       16    0.000    0.000    0.000    0.000 aabb_index.py:1734(_normalize_requested_operations)
       16    0.000    0.000    0.000    0.000 v4_aabb_relation_count_lowering.py:136(_guard)
      160    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      192    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:365(_classify_snapshot)
       16    0.000    0.000    0.000    0.000 aabb_index.py:1740(_validate_operations)
       96    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa44b40}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:276(_register_audit_abi)
