         9448 function calls (9384 primitive calls) in 0.016 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       32    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:240(physical_program_bundle_id)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       48    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       16    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      112    0.000    0.000    0.000    0.000 v4_typed_physical_schema.py:572(<lambda>)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:107(_require_sha256)
       48    0.000    0.000    0.000    0.000 {built-in method sys.audit}
       16    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
       16    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       32    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       32    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       16    0.000    0.000    0.000    0.000 <string>:2(__init__)
       48    0.000    0.000    0.000    0.000 numeric.py:2516(_array_equal_dispatcher)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       16    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
       16    0.000    0.000    0.000    0.000 v4_triangle_prepared_runtime.py:127(_raise)
       16    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       16    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2543(_all_dispatcher)
       16    0.000    0.000    0.000    0.000 multiarray.py:197(concatenate)
        7    0.000    0.000    0.000    0.000 diagnose_prepared_hot_path.py:59(<lambda>)
