         171290 function calls (171194 primitive calls) in 0.361 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 v4_typed_physical_schema.py:1009(_unique_by)
       96    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:174(_registered_loaded_provider_identity)
      128    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       48    0.000    0.000    0.000    0.000 _internal.py:263(__init__)
       32    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
       32    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      240    0.000    0.000    0.000    0.000 enum.py:1292(value)
      240    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       32    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       96    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       32    0.000    0.000    0.000    0.000 pathlib.py:1166(__new__)
       32    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
       32    0.000    0.000    0.000    0.000 physical_execution_provenance.py:412(<genexpr>)
       16    0.000    0.000    0.000    0.000 _shape_base_impl.py:621(_column_stack_dispatcher)
       96    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       48    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:276(_register_audit_abi)
       16    0.000    0.000    0.000    0.000 <frozen posixpath>:408(normpath)
       64    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
       16    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       48    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       64    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:240(physical_program_bundle_id)
       16    0.000    0.000    0.000    0.000 shape_base.py:206(_arrays_for_stack_dispatcher)
       32    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       48    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:107(_require_sha256)
       32    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       16    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       64    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
       96    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       64    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       32    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa44b40}
       32    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       16    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       48    0.000    0.000    0.000    0.000 {built-in method sys.audit}
      112    0.000    0.000    0.000    0.000 v4_typed_physical_schema.py:572(<lambda>)
       16    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
       48    0.000    0.000    0.000    0.000 numeric.py:2516(_array_equal_dispatcher)
       16    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       32    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       16    0.000    0.000    0.000    0.000 <string>:2(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       16    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       16    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 pathlib.py:560(root)
       16    0.000    0.000    0.000    0.000 v4_triangle_prepared_runtime.py:77(_raise)
       32    0.000    0.000    0.000    0.000 pathlib.py:569(_tail)
       16    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2543(_all_dispatcher)
       16    0.000    0.000    0.000    0.000 multiarray.py:197(concatenate)
        9    0.000    0.000    0.000    0.000 diagnose_prepared_hot_path.py:58(<lambda>)
